weather,mobility,attack,arty,air,tank
"dry, sunshine, extreme heat",0.9,1,1,1,0.9
"dry, sunshine, temperate",1,1,1,1,1
"dry, sunshine, extreme cold",0.9,0.9,0.9,1,0.9
"dry, overcast, extreme heat",1,1,1,0.7,1
"dry, overcast, temperate",1,1,1,0.7,1
"dry, overcast, extreme cold",0.9,0.9,0.9,0.7,0.8
"wet, light, extreme heat",0.9,0.9,0.9,0.5,0.7
"wet, light, temperate",0.8,0.9,1,0.5,0.7
"wet, light extreme cold",0.8,0.9,1,0.5,0.7
"wet, heavy, extreme heat",0.5,0.6,0.9,0.2,0.6
"wet, heavy, temperate",0.6,0.7,0.9,0.2,0.5
"wet, heavy, extreme cold",0.5,0.6,0.8,0.2,0.5
